"@timestamp","@version","__typename","_id","_index","_score","_type","accessibility_caption","comments_disabled","created_at","did_report_as_spam","dimensions.height","dimensions.width","display_url","edge_liked_by.count","edge_media_preview_like.count","edge_media_to_comment.count","fact_check_information","fact_check_overall_rating","gating_info",id,"insta_description","is_restricted_pending","is_video",location,"location.has_public_page","location.id","location.name","location.slug","media_preview","owner.id","owner.username",shortcode,"taken_at_timestamp",text,"thumbnail_src","viewer_has_liked"
"Mar 17, 2020 @ 14:32:58.612",1,GraphSidecar,Libp6HABCuLPJKLpdGBa,"insta_data-2020.02.26-000001",,"_doc","Photo by Туры по всему миру on July 24, 2019. Image may contain: text",false,0,false,705,"1,080","https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/66482176_2140073796297146_6953543176298860448_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=2kA7jjJFz68AX8XDx0B&oh=e8d00168559b16eafe925c0c022e8dd2&oe=5EA17427",20,20,0,,,,2095612648373354942,"Супер предложение от отеля 🏨 Al Khoory Executive Hotel 3* (Дубаи)🔥. Прямой перелёт из Алматы а/к Air Astana. Насладитесь отдыхом на роскошных пляжах Персидского залива со скидками! 🏝🛩⛵💕🤗. ⠀
Даты: с 26.07.19 по 01.08.19 (6 ночей).
Стоимость на человека при размещении в двухместном номере = 125 000 тенге.
⠀
🏨 Отель AL KHOORY EXECUTIVE HOTEL 3* - расположен в центре города Дубаи на улице Аль-Васл-роуд, всего в десяти минутах езды от небоскреба Бурдж Халифа и торгового центра Dubai. В нескольких минутах езды находятся дубайский зоопарк и водный парк развлечений Wild Wadi. Отель подойдет для пляжного и экскурсионного отдыха. Великолепный пляж Lа Mer находится в 7-10 минутах ходьбы от отеля.

В стоимость включено:
- 🛩Прямой авиаперелет из Алматы а/к Air Astana;
- 🏨 Проживание в отеле 6 ночей;
- ☕  Завтраки;
- 🚌 Трансфер (аэропорт-отель-аэропорт);
- 🆘 Медицинская страховка.
⠀
🇵🇼 Для граждан Казахстана виза открывается по прилету в ОАЭ (бесплатно).
⠀
Объединенные Арабские Эмираты - это не просто одно из самых богатых государств мира, но еще и великолепный выбор для отпуска.🤗🌞💕 ____________________________________
✅📞 +7 (727) 266 94 08; 250 93 26
✅Наш адрес: г. Алматы, ул. Гоголя 84а, офис 216 (между ул. Желтоксан и Наурызбай батыра).
🛩🛩🛩🛩🛩🛩🛩🛩🛩🛩🛩🛩🛩🛩
#nicetravelkz #горящиетуры #путешествие #чудоприроды #хочутуда #необыкновеннаякрасота #отдых #лучшийтуроператор #мечтысбываются #летимвотпуск #отпуск #турыизалматы #гдеотдохнуть #отдыхсдетьми #праздник #оаэ",false,false,"{""slug"":""nicetravelkz"",""id"":""1482672511761772"",""has_public_page"":true,""name"":""NiceTravel.kz""}",,,,,,2257762377,"nicetravel.kz","B0VHJnFHAG-","1,564,036,516",,"https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c187.0.705.705a/s640x640/66482176_2140073796297146_6953543176298860448_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=2kA7jjJFz68AX8XDx0B&oh=18a393b1019d1d1a3a967e2c1444cef9&oe=5EA4EAAD",false
"Mar 17, 2020 @ 14:32:58.085",1,GraphSidecar,LSbp6HABCuLPJKLpcmBK,"insta_data-2020.02.26-000001",,"_doc","Photo by Еленка Година on July 24, 2019. Image may contain: one or more people and outdoor",false,0,false,"1,080","1,080","https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/67733173_144545270072812_377012946832150734_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=lS_RxoSw578AX_NZud7&oh=191f5c2183eb86c77d85fae29529d4af&oe=5EA44D4C",35,35,0,,,,2095613332246699371,"Веревочный парк в Эко-парке Лукоморье состоит из трёх уровней. Нижний для деток 3-5 лет, что очень порадовало нашего Арсения)) он сам справился с испытанием и был ооочень доволен собой 😁😊 #лукоморьесевастополь #годинынаотдыхе #годины #отдыхсдетьми #севастополь2019 #веревочныйпарк",false,false,"{""slug"":"""",""id"":""249174568"",""has_public_page"":true,""name"":""Парк Лукоморье, Севастополь""}",,,,,,7566131782,"elena.godina.squirrel","B0VHTj_Ix1r","1,564,036,598",,"https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/67733173_144545270072812_377012946832150734_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=lS_RxoSw578AX_NZud7&oh=bd0a3c98bea695b4ace730ba7d4a7404&oe=5EA3383F",false
"Mar 17, 2020 @ 14:32:57.411",1,GraphVideo,LCbp6HABCuLPJKLpb2Cp,"insta_data-2020.02.26-000001",,"_doc",,false,0,false,360,640,"https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/66632058_160328141763570_3532230724829250974_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=9lAE-yuKjJsAX-U8tLc&oh=72734195ab72e0062657a4799e951f7d&oe=5E7372FF",38,38,5,,,,2095613802871836889,"🔔 7 ПРИЧИН ИДТИ С РЕБЁНКОМ НА КОНЦЕРТ ГРУППЫ «МОНПАНСЬЕ»
⠀
📌Интерактивный костюмированный концерт дуэта «Монпансье» (0+)
(вокал, укулеле, треугольник, аккордеон, флейта)
📅27 июля (сб) — 11:00
⠀
🌍Место проведения: м. ВДНХ, «Детское посольство»
(лужайка у Виноградного или Розового домика)
⠀
✏СТОИМОСТЬ: 1 400 ₽ — семейный билет: 1 взрослый + 1 ребенок
400 ₽ — ещё один член семьи
Билет действителен в течение 3 месяцев
БИЛЕТЫ НЕОБХОДИМО ПРИОБРЕТАТЬ ЗАРАНЕЕ НА САЙТЕ — vmestesmamoy.ru (ссылка в профиле)
⠀
ВСЕ ПОДРОБНОСТИ ВЫ МОЖЕТЕ УЗНАТЬ:
по ☎ +7 495 410-04-28,
или написав нам здесь, 📭 в директ",false,true,,,,,,,584652409,vmestesmamoy,B0VHaaSlNDZ,"1,564,036,673",,"https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/c140.0.360.360a/66632058_160328141763570_3532230724829250974_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=9lAE-yuKjJsAX-U8tLc&oh=9c57d5b6cae00d7dfbc8376583ddedd2&oe=5E72F6FE",false
"Mar 17, 2020 @ 14:32:56.947",1,GraphImage,Kybp6HABCuLPJKLpbWDY,"insta_data-2020.02.26-000001",,"_doc","Photo by Гостевой дом ""Звезда Азова"" in Пересыпь Краснодарский Край. Image may contain: text",false,0,false,"1,262","1,080","https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/67663624_474582596668035_7466630575427102970_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=qLaQDeCYcaAAX9qE1m9&oh=d508f9260d2b3fd60e8eb3f65a7a4d9c&oe=5EA24C16",26,26,2,,,,2095614127879397576,"#скидки#акция #море #азовскоеморе #виднаморе #гостиницанаморе #пляж #гостевойдом #гостиница #бронировать #отдых2019 #бронируемотдых #скоролето #отдыхсдетьми #жильеуморя #звездаазова #тамань #подорогевкрым #лето #отдых  #звездаазова #тамань #sea #beach #travel #hotel #russia #taman #onthebeach #nearthesea",false,false,"{""slug"":"""",""id"":""648372479"",""has_public_page"":true,""name"":""Пересыпь Краснодарский Край""}",,,,,,5410427174,azovstar,"B0VHfI-iqDI","1,564,036,693",,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.91.1080.1080a/s640x640/67663624_474582596668035_7466630575427102970_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=qLaQDeCYcaAAX9qE1m9&oh=c35f2d42439e9fdf681b4bdcb95ef0bf&oe=5EA109E6",false
"Mar 17, 2020 @ 14:32:56.457",1,GraphImage,FCbp6HABCuLPJKLpa2Dv,"insta_data-2020.02.26-000001",,"_doc","Photo by Oxi_Luck_Avon on July 24, 2019. Image may contain: sky, ocean, cloud, mountain, outdoor, nature and water",false,0,false,810,"1,080","https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/66716614_2371013213166946_7019715520949194894_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=KJqQoHRe1xAAX_stAY1&oh=7c295a2800196943a6d420c45e23342c&oe=5EA6A866",5,5,0,,,,2095614139222498538,"Поговорим сегодня снова об отдыхе😋

Где вы бывали?
Где хочется побывать?🤸‍♀️ Давайте пообщаемся?🤗 #отпуск#отдых#отдыхсдетьми#море#крым#скалы#горы#отдыхуморя",false,false,,,,,,,17053866200,"oxi.chernova_",B0VHfTipJzq,"1,564,036,694",,"https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c135.0.810.810a/s640x640/66716614_2371013213166946_7019715520949194894_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=KJqQoHRe1xAAX_stAY1&oh=6e96f96da4bbb4f9e24cfc2f9c75e9bb&oe=5EA3A1F4",false
"Mar 17, 2020 @ 14:32:56.030",1,GraphImage,Eybp6HABCuLPJKLpamBD,"insta_data-2020.02.26-000001",,"_doc","Photo by Ксения Корчуганова on July 24, 2019. Image may contain: ocean, beach, outdoor, nature and water",false,0,false,640,640,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/66523030_160730855090947_5609112943288992114_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=6biqx7cE4NEAX-QqKR1&oh=72a2fd38eac8340b6e1501930e2eebe8&oe=5E9F54AD",58,58,3,,,,2095614692701281953,"ОТДЫХ С ДЕТЬМИ. ПОЧЕМУ ДЕТЯМ ПОЛЕЗНО ПУТЕШЕСТВОВАТЬ С РОДИТЕЛЯМИ. 
Года три назад приятельница, рассказами о том, как путешествия помогают преодолеть трудности в развитии, вдохновила меня на то, чтобы ездить куда-то вместе с дочерью. После третьей масштабной поездки, я понимаю – почему: 
1. Для ребенка выйти за рамки привычного повседневного мира – это уже значимое событие, которое сопровождается бурей эмоций. Чего стоит только подготовка к поездке и предвкушение путешествия. 
Моя дочь составляла списки нужных на отдыхе вещей, рисовала календари, отсчитывающие дни до отпуска, представляла, как она поедет на поезде и на самолете. Чем не развитие фантазии, моторики, чтения? 
2. Поездки для детей – это всегда новые открытия, это информация, которая расширяет кругозор, делая представления о мире более целостным и объемным. И даже если ребенок не запомнит всего, что увидел или узнал, останутся впечатления и ощущения, которые будут стимулом для развития познавательного интереса. 
3. Путешествия – это не только новые места, но и новые люди, новая остановка, которые развивают способность к адаптации и коммуникативные навыки . Это возможность, сталкиваясь с трудностями и ограничениями, учиться ответственности, самостоятельности. 
4. И кроме того – поездки – это совместное времяпрепровождение, которое укрепляет детско-родительские отношения.",false,false,,,,,,,804313083,"korchuganova_ksenia",B0VHnXAjJ6h,"1,564,036,760",,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/66523030_160730855090947_5609112943288992114_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=6biqx7cE4NEAX-QqKR1&oh=72a2fd38eac8340b6e1501930e2eebe8&oe=5E9F54AD",false
"Mar 17, 2020 @ 14:32:55.544",1,GraphImage,Eibp6HABCuLPJKLpaGBe,"insta_data-2020.02.26-000001",,"_doc","Photo by Ирина М on July 24, 2019. Image may contain: one or more people, table, sky, tree and outdoor",false,0,false,"1,080","1,080","https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/67394253_554033208466093_1832097139153900362_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=WGgpEo8MbPUAX-VQin5&oh=f7d5574b7d12782f9dae69449948f433&oe=5EA66987",6,6,1,,,,2095616000938945631,"Отдыхайте с детьми-это лучшее время для них и для вас.",false,false,,,,,,,16931099653,"mim_irina_sp",B0VH6ZZlyxf,"1,564,036,916",,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/67394253_554033208466093_1832097139153900362_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=WGgpEo8MbPUAX-VQin5&oh=f98c8c903a38463bd74b750d5531dace&oe=5E9EF33D",false
"Mar 17, 2020 @ 14:32:55.122",1,GraphSidecar,ESbp6HABCuLPJKLpZmC4,"insta_data-2020.02.26-000001",,"_doc","Photo by ВСЕ ДЛЯ РЫБАЛКИ 40 лет ПОБЕДЫ on July 24, 2019. Image may contain: one or more people, people standing, child, hat and outdoor",false,0,false,640,640,"https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/66156282_718419528660240_5393532873374339889_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=GT--bVC54WgAX_69OUv&oh=9e8a44dba9662d87b765fe9f5dd16880&oe=5EA33147",72,72,3,,,,2095616414832215238,"#Ребёнок на рыбалке способен самостоятельно найти себе массу развлечений: солнечные лучики в воде, разноцветные камушки, маленькие рыбки у берега, летающие жуки и стрекозы. Но полный восторг - #рыба в банке, которую вы поймали вместе с ним.
#рыбалка23 #rybalka_23_krd #отдыхсдетьми #счастье #снамиловят #краснодар #крд #tipich_krd #югроссии",false,false,"{""slug"":""krasnodar-krai"",""id"":""894812510"",""has_public_page"":true,""name"":""Krasnodar Krai""}",,,,,,12785045727,"rybalka_23_krd",B0VIAa3jUTG,"1,564,036,965",,"https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/66156282_718419528660240_5393532873374339889_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=GT--bVC54WgAX_69OUv&oh=9e8a44dba9662d87b765fe9f5dd16880&oe=5EA33147",false
"Mar 17, 2020 @ 14:32:54.656",1,GraphImage,ECbp6HABCuLPJKLpZGDm,"insta_data-2020.02.26-000001",,"_doc","Photo by Аренда Для Отдыха За Рубежом on July 24, 2019. Image may contain: sky, tree, outdoor, nature and water",false,0,false,520,750,"https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/66317878_370674587177880_5695425262355827193_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=loaKaS15-rgAX_mipMA&oh=a9df73f1186826206905861658134613&oe=5E9A73DE",22,22,0,,,,2095616781902009962,"С 10 августа! Квартира в Антибе в резиденции с бассейном. На берегу моря. 2 спальни, красивый вид. Цена 2500€/неделя. Пишите на info@mediterranean365.ru или в директ #mediterranean365 #франция #лазурныйберег #антиб #ницца #канны #капферра #монако #монтекарло #сентропе #апартаменты #аренда #отдыхнаморе #отдыхсдетьми #лето2019",false,false,,,,,,,976832370,mediterranean365,B0VIFwundZq,"1,564,037,009",,"https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/c115.0.520.520a/66317878_370674587177880_5695425262355827193_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=loaKaS15-rgAX_mipMA&oh=e58b9b2c05541bf25613f6a9bf878f9f&oe=5EA3FA22",false
"Mar 17, 2020 @ 14:32:54.217",1,GraphSidecar,Dybp6HABCuLPJKLpY2Av,"insta_data-2020.02.26-000001",,"_doc","Photo by Svetlana Antonova on July 24, 2019. Image may contain: sky, outdoor and water",false,0,false,810,"1,080","https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/66432255_120943042237721_7615951927297720299_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=MiY8LhCSan4AX8NJK07&oh=4d7c72a5f2e1963a2781f61288d25b3b&oe=5EA3B9A9",53,53,1,,,,2095617039406506978,"Турку был основан шведами в 13 веке и назывался Або, что означает ""жизнь у реки"". До начала 19 века был столицей Финляндии, пока российский император Александр I не перенес столицу в Хельсинки. И здесь русские отметились). Турку - это город порт. Для меня, как перевалочный пункт для дальнейшего путешествия по Скандинавии. 
Из этого порта отправляются излюбленные финнами ""пьяные"" лайнеры Silja line и Viking line на выходные в Стокгольм. Мне посчастливилось бывать на этих кораблях и видеть, как отжигают финны, русские по сравнению с ними малые дети). Сами паромы огромные, 11-13 палуб, на них есть все, чтобы отдохнуть душой и телом от многочисленных ресторанов, дискотек, баров, казино, магазинов, даже бассейны.

Билет на паром очень бюджетный, поэтому финны так любят проводить выходные в таком коротком путешествии.

#путешествие #отдых #отдыхсдетьми #отдыхссемьей #финлянлия #турку",false,false,,,,,,,2278646064,"sa_travelschool",B0VIJgjFKPi,"1,564,037,040",,"https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c135.0.810.810a/s640x640/66432255_120943042237721_7615951927297720299_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=MiY8LhCSan4AX8NJK07&oh=e5767e4eaeb72256ea3fb6a9746dbd84&oe=5EA50A0A",false
