@timestamp,@version,__typename,_id,_index,_score,_type,accessibility_caption,comments_disabled,created_at,did_report_as_spam,dimensions.height,dimensions.width,display_url,edge_liked_by.count,edge_media_preview_like.count,edge_media_to_comment.count,fact_check_information,fact_check_overall_rating,gating_info,id,insta_description,is_restricted_pending,is_video,location,location.has_public_page,location.id,location.name,location.slug,media_preview,message,owner.id,owner.username,shortcode,taken_at_timestamp,text,thumbnail_src,viewer_has_liked
"Mar 17, 2020 @ 21:29:58.538",1,GraphImage,kidn6nABCuLPJKLpOmhw,insta_data-2020.02.26-000001,,_doc,"Photo by Ulrike Hiebl in Garrapata State Park. Image may contain: one or more people, people standing, sky and outdoor",false,0,false,"1,350","1,080",https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/89851265_1009146836145610_8876942082043904843_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Vt5vGI7x1YEAX8BN4Um&oh=9eeb4143f98009267a93bf785f789817&oe=5EA14AA1,61,61,0,,,,2266907349741938537,"All you need
#hills#ozean#sunset
-
#roadtrip#highway1#california#america#garrapatastatepark#travel",false,false,"{""id"":""216260803"",""slug"":""garrapata-state-park"",""has_public_page"":true,""name"":""Garrapata State Park""}",True,216260803,Garrapata State Park,garrapata-state-park,,,1037832940,uli.hiebl,B91rDlYFydp,"1,584,456,436",,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.135.1080.1080a/s640x640/89851265_1009146836145610_8876942082043904843_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Vt5vGI7x1YEAX8BN4Um&oh=7be0e6c5e7a30c0c88038328180c8be3&oe=5E9BE2B6,false
"Mar 17, 2020 @ 21:29:58.151",1,GraphImage,kSdn6nABCuLPJKLpOGjt,insta_data-2020.02.26-000001,,_doc,"Photo by JOANNA FISHER in Kimpton Goodland with @richardphotolab, @kimpton, @thegoodlandsb, @photonative, and @fuji400h. Image may contain: sky, outdoor and nature",false,0,false,"1,350","1,080",https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/89085092_188917132554605_4938250497573728853_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=76t-T5iWPMEAX-dRfgK&oh=3c95b9bdbbe5537881954c7e65efe0e8&oe=5EA2B695,63,63,2,,,,2266907439299787510,"This simultaneously feels like yesterday and 1000 years ago. ⁠
⁠
I’d like to keep the doom and gloom to a minimum, and you won’t be seeing posts for the next 30 days about all the madness happening out there in the world because I don’t think it helps anything.  Awareness, yes.  Wallowing and panic, definitely no.⁠
⁠
There’s a lot of industry leaders out there pushing the message that everything is totally fine - or even more mind blowing - that nothing has actually changed.  I disagree.⁠
⁠
Being in an events industry, our paychecks are dependent on (wait for it)...events.  This is uncharted territory.  There are small businesses - myself included - who were counting on balances being paid to cover rent and mortgages and groceries and healthcare.  When those events are postponed, those balances disappear.  The bills don’t.⁠
⁠
I have the most amazing couples and clients who have been so understanding and so flexible with payment plans and new schedules.  If you’re having to postpone your event, please be gentle with your vendors.  This is just as devastating and scary for them as it is for you.  Let’s all extend a little grace so we can get through this together.⁠
⁠
Looking forward to sunnier skies ahead.⁠💕",false,false,"{""id"":""298698918"",""slug"":""kimpton-goodland"",""has_public_page"":true,""name"":""Kimpton Goodland""}",True,298698918,Kimpton Goodland,kimpton-goodland,,,486626,joanna_fisher,B91rE4yJ3r2,"1,584,456,447",,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.135.1080.1080a/s640x640/89085092_188917132554605_4938250497573728853_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=76t-T5iWPMEAX-dRfgK&oh=a6c8498adaa3e6bc4f2a8fd3ab6edbc7&oe=5EA16499,false
"Mar 17, 2020 @ 21:29:57.344",1,GraphImage,eSdn6nABCuLPJKLpNWjG,insta_data-2020.02.26-000001,,_doc,"Photo by King District Fabrication in Sacramento, California with @toyotires, @kingshocks, @toyotausa, @bruteforcefab, @toyotafreaks, @toyotastrong, @toyotaunleashed, @relationsracewheels, @truck_norriz, @hardkorrlighting, @cali_raised_offroad, @venom_rex, @kdfab, @tacomahub, @thetoyotalife, @bestlineracing, @toyotaventures, and @ads_taco. Image may contain: 1 person, tree, car and outdoor",false,0,false,790,"1,080",https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/89964172_2533148846925302_3371751105929168632_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=7hA0p-t9_rAAX8TwAQH&oh=925292d3e8051c572532f86ffb8a0bd5&oe=5EA00356,148,148,0,,,,2266907478859894306,"Taco Tuesday with a side of high clearance 🌮
.
🔥 King District Fabrication 🔥
————————————————-
Sacramento Ca 📍
————————————————-
@yankstraps
@jbaoffroad
@bestlineracing
@hellatrails
@truck_norriz
————————————————-
.
.
#KDFab #KingDistrictFabrication #RockSliders #Toyota #3rdGen4runner #4thGen4runner #5thGen4runner #Tacoma #FJCruiser #InstaGood #GX470 #Frontier #TRD #TrailArmor #NorCal4x4 #4RunnersDaily #4RunnerMafia #Team4Runner #Corona #OverLand #TrailRated #Love #AdventureReady #LetsGoPlaces #Sacramento #California",false,false,"{""id"":""212931804"",""slug"":""sacramento-california"",""has_public_page"":true,""name"":""Sacramento, California""}",True,212931804,"Sacramento, California",sacramento-california,,,7452031238,kdfab,B91rFdoHs4i,"1,584,456,451",,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c193.0.1054.1054a/s640x640/89964172_2533148846925302_3371751105929168632_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=7hA0p-t9_rAAX8TwAQH&oh=5681a196ca0073be99ad803854ed0516&oe=5EA2E0D1,false
"Mar 17, 2020 @ 21:29:56.915",1,GraphImage,eCdn6nABCuLPJKLpNGgZ,insta_data-2020.02.26-000001,,_doc,"Photo by Mika Eldritch in Hermosa Beach Pier. Image may contain: sky, cloud and outdoor",false,0,false,825,"1,080",https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/90019816_202467974356780_8071550034565922791_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=c3HlQyQu1KwAX94BdxQ&oh=9214ae09073e10b2bfbf781f3240c54c&oe=5EA34574,34,34,0,,,,2266907518295197502,Hermosa Pier. #hermosabeach #hermosa #hermosabeachpier #pierplaza #southbay #southbaylife #nightphotography #nightshooting #california #losangeles,false,false,"{""id"":""16670"",""slug"":""hermosa-beach-pier"",""has_public_page"":true,""name"":""Hermosa Beach Pier""}",True,16670,Hermosa Beach Pier,hermosa-beach-pier,,,232260886,mika.six,B91rGCWpcc-,"1,584,456,456",,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c170.0.1100.1100a/s640x640/90019816_202467974356780_8071550034565922791_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=c3HlQyQu1KwAX94BdxQ&oh=a9e5eb320444aa2998e1760bff9a4d76&oe=5E9C0F91,false
"Mar 17, 2020 @ 21:29:55.951",1,GraphImage,didn6nABCuLPJKLpMGhU,insta_data-2020.02.26-000001,,_doc,"Photo by Joe in Venice, California with @discoverla, @visitcalifornia, @lamag, @instagram, @yelpla, @latimes, and @apple. Image may contain: sky and outdoor",false,0,false,"1,350","1,080",https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/89926376_2636192103366164_4674983068290982824_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=UCKP6KYya5sAX9ejTwS&oh=01e0f9a70d13750ee3aa38e13cba12b5&oe=5EA124A0,"1,673","1,673",10,,,,2266907540013281295,Happy St. Patrick’s day ☘️ #ovenice,false,false,"{""id"":""213387672"",""slug"":""venice-california"",""has_public_page"":true,""name"":""Venice, California""}",True,213387672,"Venice, California",venice-california,,,2280527282,calistreetshots,B91rGWlJXAP,"1,584,456,459",,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.180.1440.1440a/s640x640/89926376_2636192103366164_4674983068290982824_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=UCKP6KYya5sAX9ejTwS&oh=960098f1ac347aa3c443602e98076537&oe=5EA11C04,false
"Mar 17, 2020 @ 21:29:52.962",1,GraphImage,bidn6nABCuLPJKLpJGio,insta_data-2020.02.26-000001,,_doc,"Photo by TEMI in Valencia, Santa Clarita, California. Image may contain: possible text that says 'JOSHUA AND CALEB saw giants in the Promised Land, believed God, and re- fused to see themselves as grasshop- pers. Instead, they saw themselves as men, empowered by What a tremendous truth! We are ""well able"" people because our God is so powerful. God wants you be a do"" person-always ready, willing, and able to do what He commands. Cast down those negative thoughts and see yourself as God sees you. Reprogram your mind with God's Word; change negative, defeated self-image, start seeing yourself as winning.'",false,0,false,"1,349","1,080",https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/89822018_202760237675952_9092602230400770321_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=sIQU5xf0ghkAX8FiWSQ&oh=fd75107f0fac2dbb34d113211ef8d615&oe=5E9EA73F,3,3,0,,,,2266907614016575142,Affirmation of the day 💥We are well able!💥...❤️🙏🏾 PG www.TEMIca.org #Faith #Truth #Godsword #Godsplan #Godsway #LA #Losangeles #Cali #California #hollywood #westhollywood #northhollywood,false,false,"{""id"":""214576377"",""slug"":""valencia-santa-clarita-california"",""has_public_page"":true,""name"":""Valencia, Santa Clarita, California""}",True,214576377,"Valencia, Santa Clarita, California",valencia-santa-clarita-california,,,2182938850,pastorgwentemi,B91rHbgFham,"1,584,456,467",,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.175.1406.1406a/s640x640/89822018_202760237675952_9092602230400770321_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=sIQU5xf0ghkAX8FiWSQ&oh=1b9f84a4d7dffe12f9cde48e65e0019a&oe=5EA0933E,false
"Mar 17, 2020 @ 21:29:52.190",1,GraphVideo,bCdn6nABCuLPJKLpIWik,insta_data-2020.02.26-000001,,_doc,,false,0,false,750,750,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/89943460_584266252180688_5275095934228698045_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=IoXGDojCItsAX_yyA8F&oh=061334adebfe3de10186e67edf3f2bd9&oe=5E73E32D,10,10,0,,,,2266907439365263529,#gainz #bodybuilder #bodybuilding #luisperezpersonaltrainer #flx #flex #muscles #fitness #fitlife #workout #workingout #gains #doyoueven #doyouevenlift  #mealprep #gym #gymlife #elcentro #protein #chest #luisperezivpersonaltrainer #luisperezpersonaltraining  #california #gymbro #musclehead #fitgirl #fitmom #fitgirls #gainz #physique #fitchicks,false,true,"{""id"":""328964904554374"",""slug"":""flx-fitness-el-centro"",""has_public_page"":true,""name"":""FLX Fitness El Centro""}",True,328964904554374,FLX Fitness El Centro,flx-fitness-el-centro,,,211052463,luisperez_iv_personaltrainer,B91rE42DpCp,"1,584,456,468",,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/89943460_584266252180688_5275095934228698045_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=IoXGDojCItsAX_yyA8F&oh=4010232f123df9fca3df175fef0fdbcc&oe=5E740648,false
"Mar 17, 2020 @ 21:29:51.802",1,GraphSidecar,aydn6nABCuLPJKLpIGgg,insta_data-2020.02.26-000001,,_doc,"Photo by Peaches on March 17, 2020. Image may contain: shoes",false,0,false,"1,350","1,080",https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/89836575_120507519552471_2897954694030474499_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=wUqO3C37jG8AX-43B1B&oh=8a657a0f7d962aa0150229f80459ee64&oe=5E9CD0FF,76,76,10,,,,2266907615301049554,"🍀 Happy St. Pawtrick’s Day and #tongueouttuesday be safe out there furriends! 👅 #ToT
📷 @everettorian
📍 #culvercity",false,false,"{""id"":""213420290"",""slug"":""culver-city-california"",""has_public_page"":true,""name"":""Culver City, California""}",True,213420290,"Culver City, California",culver-city-california,,,1709130779,adventurecatpeaches,B91rHcspZzS,"1,584,456,468",,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.180.1440.1440a/s640x640/89836575_120507519552471_2897954694030474499_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=wUqO3C37jG8AX-43B1B&oh=c0dfb63831cac74ca6c37ba0e716c4c1&oe=5EA3A96C,false
"Mar 17, 2020 @ 21:29:51.343",1,GraphImage,aidn6nABCuLPJKLpHmhV,insta_data-2020.02.26-000001,,_doc,"Photo by JR McThay in San Diego, California.",false,0,false,668,750,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/90330591_2583217488624101_3190518541218987998_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=sUBhsRNMdOQAX9x_10T&oh=5bc1e80f3fb0c6c21b3e07fdc907038d&oe=5E9DEE0C,31,31,6,,,,2266907656010357485,"Just got my test results back...
SAFE!!!
Washing my hands and ass worked!!!
#ThankGod #VirusFree #Covid #Corona #CleanHands #CleanAss #sandiego #california #socal #619 #858",false,false,"{""id"":""212983635"",""slug"":""san-diego-california"",""has_public_page"":true,""name"":""San Diego, California""}",True,212983635,"San Diego, California",san-diego-california,,,176838978,jrmcthay,B91rICnHFrt,"1,584,456,472",,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c39.0.642.642a/s640x640/90330591_2583217488624101_3190518541218987998_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=sUBhsRNMdOQAX9x_10T&oh=9898447ac6c40b710896ae748edcf3b4&oe=5E9B658F,false
"Mar 17, 2020 @ 21:29:50.546",1,GraphImage,aCdn6nABCuLPJKLpG2g4,insta_data-2020.02.26-000001,,_doc,"Photo by Boating + Outdoor Clothing in Mill Valley, California. Image may contain: one or more people, people standing and outdoor",false,0,false,"1,080","1,080",https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/89838747_200408211234286_2920697789057607763_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=SfggwAauwhYAX8bqEBG&oh=28392e84d7d54160c7ec11458dc10248&oe=5EA58376,17,17,1,,,,2266907702482698316,"For all of the cruisers ⛵️ 🛥 out there- made in 🇺🇸 especially for you!
Link to our store in bio 🔝#saltyswagclub",false,false,"{""id"":""213005080"",""slug"":""mill-valley-california"",""has_public_page"":true,""name"":""Mill Valley, California""}",True,213005080,"Mill Valley, California",mill-valley-california,,,30293314512,saltyswagclub,B91rIt5FABM,"1,584,456,478",,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/89838747_200408211234286_2920697789057607763_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=SfggwAauwhYAX8bqEBG&oh=5643d2c5948c19147446685ca1421e6e&oe=5EA66DC1,false
