owner.id,location.id,taken_at_timestamp,hashtag1,hashtag2,hashtag3,hashtag4,hashtag5,hashtag6,hashtag7,hashtag8,hashtag9,hashtag10
13382832598,363246170678813,1564386376,турыонлайн,турывбали,турынабали,турыбали,турынедорого,турагенство,лучшийтур,лучшийтуроператор,отдыхсемьей,отдыхсдетьми
3219710396,554209772,1564386475,набайкал,отдыхсдетьми,каникулы,автопутешествие,путешествиенабайкал,Байкал,набайкалнамашине,0,0,0
9160084835,62465987,1564386492,отдых,дубайфото,путешествиесребенком,отдыха,дубай,путешествиеэтожизнь,отдыхсдетьми,посетитедубай,абудаби,путешествиесемьей
3145437183,219882684,1532641100,0,0,0,0,0,0,0,0,0,0
3145437183,266014386,1533768392,0,0,0,0,0,0,0,0,0,0
3145437183,1883436871689239,1533849597,0,0,0,0,0,0,0,0,0,0
3145437183,1019128462,1534111445,музейметро,0,0,0,0,0,0,0,0,0
3145437183,118391868866649,1534329724,0,0,0,0,0,0,0,0,0,0
3145437183,208540266438262,1534673375,0,0,0,0,0,0,0,0,0,0
3145437183,17326249,1534970182,0,0,0,0,0,0,0,0,0,0
3145437183,204385890132514,1535056441,0,0,0,0,0,0,0,0,0,0
3145437183,204385890132514,1535146036,0,0,0,0,0,0,0,0,0,0
3145437183,551487866,1535230047,0,0,0,0,0,0,0,0,0,0
3145437183,1031875719,1535585003,досуг_красненьких,0,0,0,0,0,0,0,0,0
3145437183,1031875719,1535671237,0,0,0,0,0,0,0,0,0,0
3145437183,1070607,1536442312,0,0,0,0,0,0,0,0,0,0
3145437183,658918631166568,1536527848,0,0,0,0,0,0,0,0,0,0
3145437183,574071752,1536614643,0,0,0,0,0,0,0,0,0,0
3145437183,710571426,1536958939,0,0,0,0,0,0,0,0,0,0
3145437183,213190885,1538939174,московскиесезоны,золотаяосень,0,0,0,0,0,0,0,0
3145437183,266014386,1539469449,0,0,0,0,0,0,0,0,0,0
3145437183,417840945,1539471076,0,0,0,0,0,0,0,0,0,0
